current_time, x_position, y_position, U_velocity, V_velocity
1615691925.95, 0.0, 0.0, 0.0, 0.0, 6.28316236654
1615691925.98, 0.0, 0.0, 0.0, 0.0, 0.00038140296
1615691926.0, 0.0, 0.0, 0.0, 0.0, 0.0007961607
1615691926.01, 0.0, 0.0, 0.0, 0.0, 0.00115920066
1615691926.03, 0.0, 0.0, 0.0, 0.0, 0.00155601978
1615691926.06, 0.0, 0.0, 0.0, 0.0, 0.0019730997
1615691926.07, 0.0, 0.0, 0.0, 0.0, 0.00232982158
1615691926.09, 0.0, 0.0, 0.0, 0.0, 0.00275038242
1615691926.11, 0.0, 0.0, 0.0, 0.0, 0.0031436205
1615691926.13, 0.0, 0.0, 0.0, 0.0, 0.00356828212
1615691926.15, 0.0, 0.0, 0.0, 0.0, 0.00395629882
1615691926.17, 0.0, 0.0, 0.0, 0.0, 0.00436861992
1615691926.19, 0.0, 0.0, 0.0, 0.0, 0.00475411892
1615691926.21, 0.0, 0.0, 0.0, 0.0, 0.00515844346
1615691926.23, 0.0, 0.0, 0.0, 0.0, 0.00557958126
1615691926.25, 0.0, 0.0, 0.0, 0.0, 0.0059640026
1615691926.27, 0.0, 0.0, 0.0, 0.0, 0.00632118226
1615691926.29, 0.0, 0.0, 0.0, 0.0, 0.00674506188
1615691926.31, 0.0, 0.0, 0.0, 0.0, 0.00713674068
1615691926.33, 0.0, 0.0, 0.0, 0.0, 0.00755880356
1615691926.35, 0.0, 0.0, 0.0, 0.0, 0.00796051978
1615691926.37, 0.0, 0.0, 0.0, 0.0, 0.0083403635
1615691926.39, 0.0, 0.0, 0.0, 0.0, 0.0087577629
1615691926.41, 0.0, 0.0, 0.0, 0.0, 0.00912966252
1615691926.43, 0.0, 0.0, 0.0, 0.0, 0.00955512046
1615691926.45, 0.0, 0.0, 0.0, 0.0, 0.0099573803
1615691926.47, 0.0, 0.0, 0.0, 0.0, 0.01031405926
1615691926.49, 0.0, 0.0, 0.0, 0.0, 0.01073252202
1615691926.51, 0.0, 0.0, 0.0, 0.0, 0.011125741
1615691926.53, 0.0, 0.0, 0.0, 0.0, 0.01156301976
1615691926.55, 0.0, 0.0, 0.0, 0.0, 0.01196462154
1615691926.57, 0.0, 0.0, 0.0, 0.0, 0.01235435962
1615691926.59, 0.0, 0.0, 0.0, 0.0, 0.01276510238
1615691926.61, 0.0, 0.0, 0.0, 0.0, 0.0131512022
1615691926.63, 0.0, 0.0, 0.0, 0.0, 0.01353316306
1615691926.65, 0.0, 0.0, 0.0, 0.0, 0.01394872188
1615691926.67, 0.0, 0.0, 0.0, 0.0, 0.01430466174
1615691926.69, 0.0, 0.0, 0.0, 0.0, 0.01471280098
1615691926.71, 0.0, 0.0, 0.0, 0.0, 0.01511444092
1615691926.73, 0.0, 0.0, 0.0, 0.0, 0.01552644252
1615691926.75, 0.0, 0.0, 0.0, 0.0, 0.01593832016
1615691926.77, 0.0, 0.0, 0.0, 0.0, 0.01632761956
1615691926.79, 0.0, 0.0, 0.0, 0.0, 0.01673572064
1615691926.81, 0.0, 0.0, 0.0, 0.0, 0.01711202144
1615691926.83, 0.0, 0.0, 0.0, 0.0, 0.01755693912
1615691926.85, 0.0, 0.0, 0.0, 0.0, 0.01796279908
1615691926.87, 0.0, 0.0, 0.0, 0.0, 0.01830696106
1615691926.89, 0.0, 0.0, 0.0, 0.0, 0.01870699882
1615691926.91, 0.0, 0.0, 0.0, 0.0, 0.01910868168
1615691926.93, 0.0, 0.0, 0.0, 0.0, 0.01950860024
1615691926.95, 0.0, 0.0, 0.0, 0.0, 0.01992172242
1615691926.97, 0.0, 0.0, 0.0, 0.0, 0.02031198024
1615691926.99, 0.0, 0.0, 0.0, 0.0, 0.02072458268
1615691927.01, 0.0, 0.0, 0.0, 0.0, 0.02111402034
1615691927.03, 0.0, 0.0, 0.0, 0.0, 0.02150484086
1615691927.05, 0.0, 0.0, 0.0, 0.0, 0.02195826054
1615691927.07, 0.0, 0.0, 0.0, 0.0, 0.0222936821
1615691927.09, 0.0, 0.0, 0.0, 0.0, 0.02269924164
1615691927.11, 0.0, 0.0, 0.0, 0.0, 0.02310704232
1615691927.13, 0.0, 0.0, 0.0, 0.0, 0.02349954128
