current_time, x_position, y_position, U_velocity, V_velocity
1615690379.72, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.74, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.76, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.78, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.8, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.82, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.84, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.86, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.88, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.9, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.92, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.94, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.96, 0.0, 0.0, 0.0, 0.0, 0.0
1615690379.98, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.0, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.02, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.04, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.06, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.08, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.1, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.12, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.14, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.16, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.18, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.2, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.22, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.25, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.26, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.28, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.3, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.32, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.34, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.36, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.38, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.4, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.42, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.44, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.46, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.48, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.5, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.52, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.54, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.56, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.58, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.6, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.62, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.64, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.66, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.68, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.7, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.72, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.74, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.76, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.78, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.8, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.82, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.84, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.86, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.88, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.9, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.92, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.94, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.96, 0.0, 0.0, 0.0, 0.0, 0.0
1615690380.98, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.0, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.02, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.04, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.06, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.08, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.1, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.12, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.14, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.16, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.18, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.2, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.22, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.24, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.26, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.28, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.3, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.32, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.34, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.36, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.38, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.4, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.42, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.44, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.46, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.48, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.5, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.52, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.54, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.56, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.58, 0.0, 0.0, 0.0, 0.0, 0.0
1615690381.6, 0.000278525361131, 0.0, 0.0133984018404, 0.0, 0.0
1615690381.62, 0.000702889444616, 0.0, 0.0212212600357, 0.0, 0.0
1615690381.64, 0.00118310908884, 0.0, 0.0242916073615, 0.0, 0.0
1615690381.66, 0.00171406250907, 0.0, 0.0272366814269, 0.0, 0.0
1615690381.68, 0.00234648312221, 0.0, 0.0314106234551, 0.0, 0.0
1615690381.7, 0.00312543247236, 0.0, 0.0396431472592, 0.0, 0.0
1615690381.72, 0.00403833324022, 0.0, 0.0439784444556, 0.0, 0.0
1615690381.74, 0.00497234682583, 0.0, 0.0481749284406, 0.0, 0.0
1615690381.76, 0.00600058371036, 0.0, 0.0518863081944, 0.0, 0.0
1615690381.78, 0.00702191774422, 0.0, 0.0518863081944, 0.0, 0.0
1615690381.8, 0.00806687934335, 0.0, 0.0503866946815, 0.0, 0.0
1615690381.82, 0.00905456240608, 0.0, 0.0503866946815, 0.0, 0.0
1615690381.84, 0.00989064234192, 0.0, 0.0418269744405, 0.0, 0.0
1615690381.86, 0.0105762090688, 0.0, 0.0344038674532, 0.0, 0.0
1615690381.88, 0.0111871487724, 0.0, 0.030237023936, 0.0, 0.0
1615690381.9, 0.0117443290858, 0.0, 0.0283236409255, 0.0, 0.0
1615690381.92, 0.0122609535566, 0.0, 0.0259596759107, 0.0, 0.0
1615690381.94, 0.0127828203503, 0.0, 0.0259596759107, 0.0, 0.0
1615690381.96, 0.0132812113039, 0.0, 0.0247525594878, 0.0, 0.0
1615690381.98, 0.0137783452483, 0.0, 0.0247525594878, 0.0, 0.0
1615690382.0, 0.0143390444173, 0.0, 0.0279400600368, 0.0, 0.0
1615690382.02, 0.0149683656628, 0.0, 0.0311636918803, 0.0, 0.0
1615690382.04, 0.0157038418637, 0.0, 0.0371283711385, 0.0, 0.0
1615690382.06, 0.0165785901048, 0.0, 0.043788088008, 0.0, 0.0
1615690382.08, 0.0176014941983, 0.0, 0.0496990589728, 0.0, 0.0
1615690382.1, 0.0186350877024, 0.0, 0.0535203940892, 0.0, 0.0
1615690382.12, 0.0198127635038, 0.0, 0.0594393668597, 0.0, 0.0
1615690382.14, 0.0210972513818, 0.0, 0.0646483220414, 0.0, 0.0
1615690382.16, 0.0225262039552, 0.0, 0.0703499201755, 0.0, 0.0
1615690382.18, 0.0239949522004, -1.44437498054e-06, 0.0746767001405, 0.0, 0.0009834051
1615690382.2, 0.0256037144309, -5.30223220295e-06, 0.0796071013709, 0.0, 0.00239802362
1615690382.22, 0.0273104252097, -1.17784356884e-05, 0.0855493808529, 0.0, 0.00379453419
1615690382.24, 0.0291356014096, -2.05394012799e-05, 0.0907611650224, 0.0, 0.00480002879
1615690382.26, 0.0310570766873, -2.97626087671e-05, 0.095625821382, 0.0, 0.00480002879
1615690382.28, 0.0330425024408, -3.92927827369e-05, 0.0998558089102, 0.0, 0.00480002879
1615690382.3, 0.035118686224, -4.92586012082e-05, 0.103541405206, 0.0, 0.00480002879
1615690382.32, 0.0373735601305, -6.00821440034e-05, 0.109620593488, 0.0, 0.00480002879
1615690382.34, 0.0395783863341, -7.06654545384e-05, 0.11306920864, 0.0, 0.00480002879
1615690382.36, 0.0418852601364, -8.17386002472e-05, 0.118582303942, 0.0, 0.00480002879
1615690382.38, 0.044338808572, -9.3515793826e-05, 0.121705434987, 0.0, 0.00480002879
1615690382.4, 0.0468219821029, -0.000105435189807, 0.125054685575, 0.0, 0.00480002879
1615690382.42, 0.0494891578893, -0.000118237808695, 0.132710237909, 0.0, 0.00480002879
1615690382.44, 0.0521324584545, -0.000127766818858, 0.132710237909, 0.0, 0.00360495095
1615690382.46, 0.0549194005968, -0.000128436965194, 0.140817762568, 0.0, 0.00024045936
1615690382.48, 0.05782265036, -0.000108405509847, 0.142319224438, 0.0, 6.27628575009
1615690382.5, 0.0607179499725, -0.000302661554065, 0.146046517715, -0.0123826969072, 6.26559480849
