current_time, x_position, y_position, U_velocity, V_velocity
1615691060.73, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.75, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.77, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.79, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.81, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.83, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.85, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.87, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.89, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.91, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.93, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.95, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.97, 0.0, 0.0, 0.0, 0.0, 0.0
1615691060.99, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.01, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.03, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.05, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.07, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.09, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.11, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.13, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.15, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.17, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.19, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.21, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.23, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.25, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.27, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.29, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.31, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.33, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.35, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.37, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.39, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.41, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.43, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.45, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.47, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.49, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.51, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.53, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.55, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.57, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.59, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.61, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.63, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.65, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.67, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.69, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.71, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.73, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.75, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.77, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.79, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.81, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.83, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.85, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.87, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.89, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.91, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.93, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.95, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.97, 0.0, 0.0, 0.0, 0.0, 0.0
1615691061.99, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.01, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.03, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.05, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.07, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.09, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.11, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.13, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.15, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.17, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.19, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.21, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.23, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.25, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.27, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.29, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.31, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.33, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.35, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.37, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.39, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.41, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.43, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.45, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.47, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.49, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.51, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.53, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.55, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.57, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.59, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.61, 0.0, 0.0, 0.0, 0.0, 0.0
1615691062.63, 0.000204088513887, 0.0, 0.0104365918548, 0.0, 0.0
1615691062.65, 0.00051304056299, 0.0, 0.0150826248046, 0.0, 0.0
1615691062.67, 0.000886814007478, 0.0, 0.0182203979753, 0.0, 0.0
1615691062.69, 0.00137236461003, 0.0, 0.0242981191391, 0.0, 0.0
1615691062.71, 0.00199367043622, 0.0, 0.0304368882705, 0.0, 0.0
1615691062.73, 0.0026441163232, 0.0, 0.0345010155694, 0.0, 0.0
1615691062.75, 0.00343822728194, 0.0, 0.0394194064079, 0.0, 0.0
1615691062.77, 0.00440497631266, 0.0, 0.0448152527639, 0.0, 0.0
1615691062.79, 0.00541845422784, 0.0, 0.0497901553548, 0.0, 0.0
1615691062.81, 0.00648484757137, 0.0, 0.0545327704684, 0.0, 0.0
1615691062.83, 0.00751581858561, 0.0, 0.0575931087343, 0.0, 0.0
1615691062.84, 0.00873863710356, 0.0, 0.0635028674245, 0.0, 0.0
1615691062.87, 0.0101308655526, 0.0, 0.0683070079204, 0.0, 0.0
1615691062.89, 0.0116630119154, 0.0, 0.0724970953194, 0.0, 0.0
